Дата,Открытие,Макс,Мин,Закрытие,      
20/09/18,112750,112840,112750,112800,
20/09/18,112810,112820,112770,112780,
20/09/18,112780,112830,112760,112820,
20/09/18,112810,112940,112810,112900,
20/09/18,112890,112910,112840,112900,
20/09/18,112890,112900,112820,112840,
20/09/18,112830,112910,112810,112900,
20/09/18,112900,112910,112830,112850,
20/09/18,112840,112870,112810,112860,
20/09/18,112860,112870,112820,112840,
20/09/18,112840,112890,112830,112840,
20/09/18,112840,112850,112770,112830,
20/09/18,112820,112860,112810,112830,
20/09/18,112820,112910,112800,112910,
20/09/18,112900,112990,112890,112960,
20/09/18,112960,113150,112960,113140,
20/09/18,113140,113170,113050,113080,
20/09/18,113090,113090,113010,113030,
20/09/18,113020,113060,112930,112970,
20/09/18,112970,113040,112960,112960,
20/09/18,112970,113030,112960,113020,
20/09/18,113010,113080,113010,113070,
20/09/18,113070,113090,113030,113050,
20/09/18,113060,113060,113010,113020,
20/09/18,113010,113040,113010,113020,
20/09/18,113030,113070,113010,113020,
20/09/18,113010,113020,112970,112980,
20/09/18,112970,113010,112970,112980,
20/09/18,112990,113060,112980,113030,
20/09/18,113050,113080,112980,112990,
20/09/18,112990,113050,112990,113040,
20/09/18,113050,113050,113000,113040,
20/09/18,113040,113060,113000,113020,
20/09/18,113020,113040,113000,113010,
20/09/18,113020,113060,113000,113030,
20/09/18,113020,113040,112980,112980,
20/09/18,112980,113000,112960,112960,
20/09/18,112980,112980,112940,112970,
20/09/18,112970,112990,112920,112970,
20/09/18,112950,112990,112950,112960,
20/09/18,112960,112990,112950,112990,
20/09/18,112980,112990,112960,112980,
20/09/18,112980,113010,112960,112970,
20/09/18,112960,113000,112960,112990,
20/09/18,112980,113020,112960,112990,
20/09/18,112980,113000,112970,112990,
20/09/18,112970,112990,112940,112940,
20/09/18,112940,112960,112910,112950,
20/09/18,112930,112960,112920,112940,
20/09/18,112930,112940,112910,112930,
20/09/18,112930,112970,112920,112930,
20/09/18,112940,112980,112930,112980,
20/09/18,112970,113000,112960,112980,
20/09/18,112970,112980,112910,112910,
20/09/18,112910,112950,112910,112940,
20/09/18,112950,112970,112920,112920,
20/09/18,112920,112960,112920,112950,
20/09/18,112950,113000,112950,112970,
20/09/18,112980,113030,112970,113020,
20/09/18,113020,113140,113010,113110,
20/09/18,113090,113220,113090,113180,
20/09/18,113200,113280,113200,113210,
20/09/18,113220,113280,113210,113260,
20/09/18,113260,113300,113250,113270,
20/09/18,113270,113290,113260,113280,
20/09/18,113290,113310,113280,113300,
20/09/18,113300,113310,113260,113270,
20/09/18,113280,113320,113260,113270,
20/09/18,113280,113280,113240,113260,
20/09/18,113260,113280,113250,113280,
20/09/18,113270,113290,113250,113260,
20/09/18,113250,113270,113200,113210,
20/09/18,113200,113270,113200,113270,
20/09/18,113250,113280,113240,113260,
20/09/18,113270,113400,113260,113380,
20/09/18,113380,113480,113380,113450,
20/09/18,113450,113490,113440,113460,
20/09/18,113460,113550,113450,113540,
20/09/18,113520,113540,113480,113520,
20/09/18,113510,113590,113510,113580,
20/09/18,113570,113720,113570,113710,
20/09/18,113690,113780,113680,113780,
20/09/18,113780,113850,113710,113810,
20/09/18,113820,113850,113740,113780,
20/09/18,113780,113790,113710,113720,
20/09/18,113730,113740,113680,113680,
20/09/18,113690,113700,113640,113650,
20/09/18,113650,113670,113620,113630,
20/09/18,113630,113630,113570,113580,
20/09/18,113580,113610,113510,113570,
20/09/18,113550,113580,113540,113560,
20/09/18,113570,113570,113520,113540,
20/09/18,113530,113550,113490,113550,
20/09/18,113540,113580,113540,113580,
20/09/18,113570,113610,113550,113590,
20/09/18,113590,113620,113580,113590,
20/09/18,113600,113610,113570,113600,
20/09/18,113600,113630,113590,113590,
20/09/18,113600,113600,113500,113510,
20/09/18,113510,113550,113500,113500,
20/09/18,113520,113560,113440,113460,
20/09/18,113470,113490,113450,113450,
20/09/18,113450,113470,113310,113320,
20/09/18,113320,113330,113210,113240,
20/09/18,113230,113250,113110,113160,
20/09/18,113150,113240,113130,113220,
20/09/18,113240,113250,113210,113250,
20/09/18,113230,113280,113220,113250,
20/09/18,113260,113330,113240,113290,
20/09/18,113290,113300,113270,113300,
20/09/18,113300,113320,113230,113240,
20/09/18,113250,113270,113240,113250,
20/09/18,113240,113270,113230,113270,
20/09/18,113260,113290,113250,113270,
20/09/18,113280,113340,113270,113300,
20/09/18,113300,113340,113280,113330,
20/09/18,113330,113360,113320,113360,
20/09/18,113360,113360,113270,113290,
20/09/18,113290,113310,113120,113160,
20/09/18,113170,113170,113040,113070,
20/09/18,113070,113070,112970,113020,
20/09/18,113020,113040,112960,113020,
20/09/18,113010,113040,113000,113040,
20/09/18,113040,113070,113020,113060,
20/09/18,113050,113180,113050,113160,
20/09/18,113160,113210,113140,113140,
20/09/18,113130,113130,113060,113110,
20/09/18,113100,113130,113070,113070,
20/09/18,113080,113140,113080,113120,
20/09/18,113120,113120,113100,113120,
20/09/18,113130,113230,113110,113170,
20/09/18,113180,113220,113160,113200,
20/09/18,113200,113270,113200,113250,
20/09/18,113250,113300,113220,113270,
20/09/18,113290,113470,113290,113450,
20/09/18,113460,113470,113340,113360,
20/09/18,113370,113390,113360,113380,
20/09/18,113380,113380,113330,113370,
20/09/18,113370,113380,113350,113360,
20/09/18,113350,113360,113320,113340,
20/09/18,113350,113440,113350,113400,
20/09/18,113410,113420,113390,113400,
20/09/18,113400,113400,113350,113370,
20/09/18,113390,113440,113360,113420,
20/09/18,113420,113430,113410,113430,
20/09/18,113430,113480,113410,113420,
20/09/18,113440,113480,113430,113450,
20/09/18,113450,113480,113440,113450,
20/09/18,113440,113510,113440,113470,
20/09/18,113470,113500,113450,113470,
20/09/18,113480,113600,113450,113590,
20/09/18,113570,113690,113570,113660,
20/09/18,113660,113670,113600,113620,
20/09/18,113620,113620,113560,113570,
20/09/18,113580,113660,113580,113620,
20/09/18,113610,113670,113610,113660,
20/09/18,113670,113770,113660,113730,
20/09/18,113720,113740,113640,113650,
20/09/18,113660,113680,113650,113650,
20/09/18,113650,113680,113620,113620,
20/09/18,113630,113650,113570,113610,
20/09/18,113600,113630,113580,113600,
20/09/18,113600,113660,113580,113620,
20/09/18,113610,113670,113590,113590,
20/09/18,113590,113600,113550,113560,
20/09/18,113560,113640,113560,113640,
20/09/18,113640,113650,113620,113640,
20/09/18,113640,113660,113580,113590,
20/09/18,113610,113620,113460,113490,
20/09/18,113490,113590,113490,113590,
20/09/18,113580,113630,113570,113610,
20/09/18,113600,113730,113600,113710,
20/09/18,113700,113900,113700,113900,
20/09/18,113900,113930,113820,113860,
20/09/18,113860,113900,113840,113840,
20/09/18,113830,113860,113680,113690,
20/09/18,113690,113710,113660,113700,
20/09/18,113710,113740,113680,113690,
20/09/18,113690,113710,113640,113640,
20/09/18,113650,113740,113650,113720,
20/09/18,113720,113820,113710,113770,
20/09/18,113770,113930,113750,113930,
20/09/18,113930,114060,113890,113890,
20/09/18,113900,113910,113820,113830,
20/09/18,113830,113830,113760,113780,
20/09/18,113800,113800,113710,113720,
20/09/18,113730,113740,113640,113650,
20/09/18,113660,113700,113630,113680,
20/09/18,113700,113700,113570,113570,
20/09/18,113570,113690,113570,113690,
20/09/18,113700,113760,113670,113710,
20/09/18,113700,113700,113560,113560,
20/09/18,113570,113580,113510,113540,
20/09/18,113570,113640,113570,113600,
20/09/18,113610,113620,113590,113590,
20/09/18,113600,113600,113270,113300,
20/09/18,113290,113320,113220,113240,
20/09/18,113240,113260,113130,113200,
20/09/18,113200,113240,113120,113230,
20/09/18,113220,113310,113200,113290,
20/09/18,113280,113290,113180,113270,
20/09/18,113280,113350,113260,113280,
20/09/18,113280,113390,113270,113370,
20/09/18,113390,113620,113350,113560,
20/09/18,113550,113560,113470,113500,
20/09/18,113490,113610,113490,113580,
20/09/18,113590,113590,113470,113490,
20/09/18,113480,113520,113330,113330,
20/09/18,113330,113350,113230,113290,
20/09/18,113290,113350,113180,113190,
20/09/18,113180,113200,112950,112990,
20/09/18,112990,113050,112950,113050,
20/09/18,113050,113110,113040,113090,
20/09/18,113080,113120,113070,113110,
20/09/18,113120,113280,113090,113170,
20/09/18,113160,113290,113110,113270,
20/09/18,113270,113370,113260,113260,
20/09/18,113270,113320,113220,113230,
20/09/18,113240,113240,113100,113150,
20/09/18,113150,113160,113110,113110,
20/09/18,113110,113110,112980,112990,
20/09/18,112980,113060,112980,113060,
20/09/18,113050,113050,113000,113030,
20/09/18,113040,113090,113030,113050,
20/09/18,113050,113120,113030,113100,
20/09/18,113100,113270,113100,113130,
20/09/18,113130,113140,113020,113020,
20/09/18,113030,113030,112950,112980,
20/09/18,112990,113050,112970,113050,
20/09/18,113030,113080,112940,112960,
20/09/18,112950,113090,112950,113090,
20/09/18,113090,113130,113020,113070,
20/09/18,113080,113200,113070,113200,
20/09/18,113200,113420,113200,113350,
20/09/18,113360,113600,113350,113560,
20/09/18,113550,113720,113480,113660,
20/09/18,113650,113710,113570,113650,
20/09/18,113660,113710,113600,113670,
20/09/18,113670,113770,113590,113700,
20/09/18,113720,113750,113620,113650,
20/09/18,113660,113800,113630,113800,
20/09/18,113800,113930,113800,113920,
20/09/18,113920,113950,113830,113880,
20/09/18,113880,113900,113830,113830,
20/09/18,113820,113930,113770,113830,
20/09/18,113820,113960,113810,113880,
20/09/18,113870,113910,113830,113860,
20/09/18,113860,113940,113810,113940,
20/09/18,113930,113940,113800,113810,
20/09/18,113820,113840,113740,113810,
20/09/18,113800,114030,113800,113950,
20/09/18,113960,113970,113730,113760,
20/09/18,113740,113810,113740,113750,
20/09/18,113740,113750,113660,113700,
20/09/18,113690,113690,113590,113610,
20/09/18,113600,113690,113580,113610,
20/09/18,113630,113640,113570,113610,
20/09/18,113600,113610,113470,113510,
20/09/18,113500,113560,113480,113540,
20/09/18,113550,113590,113530,113540,
20/09/18,113540,113550,113450,113490,
20/09/18,113490,113510,113410,113460,
20/09/18,113460,113470,113410,113430,
20/09/18,113420,113440,113380,113430,
20/09/18,113420,113500,113280,113280,
20/09/18,113280,113300,113130,113210,
20/09/18,113210,113220,113050,113110,
20/09/18,113110,113220,113100,113140,
20/09/18,113130,113140,112990,113000,
20/09/18,112990,113020,112910,112930,
20/09/18,112910,113020,112850,113020,
20/09/18,113020,113030,112920,112950,
20/09/18,112950,112990,112910,112920,
20/09/18,112920,112960,112790,112810,
20/09/18,112830,112860,112790,112790,
20/09/18,112790,112900,112760,112790,
20/09/18,112790,112830,112740,112740,
20/09/18,112740,112900,112710,112850,
20/09/18,112850,112890,112730,112770,
20/09/18,112780,112820,112710,112770,
20/09/18,112770,112790,112710,112750,
20/09/18,112760,112770,112620,112740,
20/09/18,112740,112820,112710,112800,
20/09/18,112800,112900,112770,112900,
20/09/18,112890,113030,112880,113020,
20/09/18,113020,113140,112960,113050,
20/09/18,113060,113060,112940,113000,
20/09/18,112990,113110,112980,113090,
20/09/18,113080,113200,113080,113190,
20/09/18,113170,113240,113130,113220,
20/09/18,113230,113250,113150,113150,
20/09/18,113150,113200,113080,113090,
20/09/18,113080,113080,112910,112910,
20/09/18,112920,113070,112920,113070,
20/09/18,113070,113120,112960,112970,
20/09/18,112970,113090,112940,113070,
20/09/18,113080,113160,113060,113110,
20/09/18,113110,113140,113080,113130,
20/09/18,113130,113150,113090,113110,
20/09/18,113120,113180,113080,113090,
20/09/18,113090,113250,113080,113210,
20/09/18,113210,113220,113170,113220,
20/09/18,113230,113410,113230,113380,
20/09/18,113390,113450,113330,113370,
20/09/18,113370,113370,113290,113330,
20/09/18,113340,113380,113270,113270,
20/09/18,113280,113320,113270,113290,
20/09/18,113300,113350,113290,113330,
20/09/18,113330,113370,113330,113360,
20/09/18,113340,113390,113320,113380,
20/09/18,113390,113410,113300,113320,
20/09/18,113310,113350,113240,113260,
20/09/18,113250,113300,113240,113250,
20/09/18,113250,113280,113210,113240,
20/09/18,113250,113270,113210,113270,
20/09/18,113270,113310,113210,113220,
20/09/18,113220,113320,113220,113270,
20/09/18,113270,113290,113250,113290,
20/09/18,113290,113370,113290,113340,
20/09/18,113330,113370,113290,113370,
20/09/18,113350,113370,113320,113360,
20/09/18,113370,113430,113330,113400,
20/09/18,113410,113510,113410,113420,
20/09/18,113410,113450,113350,113450,
20/09/18,113450,113490,113390,113430,
20/09/18,113440,113470,113410,113410,
20/09/18,113410,113410,113230,113230,
20/09/18,113230,113320,113230,113260,
20/09/18,113260,113280,113120,113200,
20/09/18,113210,113280,113170,113210,
20/09/18,113220,113240,113070,113120,
20/09/18,113100,113120,113010,113060,
20/09/18,113060,113070,113010,113070,
20/09/18,113070,113110,112980,113000,
20/09/18,113020,113020,112920,112940,
20/09/18,112930,112960,112880,112900,
20/09/18,112890,112950,112820,112880,
20/09/18,112890,112930,112840,112840,
20/09/18,112850,112910,112810,112890,
20/09/18,112890,112890,112790,112830,
20/09/18,112850,112940,112850,112860,
20/09/18,112870,112880,112760,112770,
20/09/18,112770,112810,112580,112600,
20/09/18,112590,112620,112450,112600,
20/09/18,112600,112620,112500,112610,
20/09/18,112590,112760,112570,112710,
20/09/18,112720,112820,112670,112750,
20/09/18,112750,112850,112720,112800,
20/09/18,112800,112830,112780,112790,
20/09/18,112810,112820,112750,112770,
20/09/18,112770,112780,112630,112650,
20/09/18,112650,112810,112620,112740,
20/09/18,112760,112830,112750,112770,
20/09/18,112760,112850,112730,112810,
20/09/18,112820,112880,112810,112870,
20/09/18,112860,112910,112830,112890,
20/09/18,112890,112900,112780,112800,
20/09/18,112790,112930,112790,112830,
20/09/18,112830,112900,112820,112890,
20/09/18,112890,112910,112770,112800,
20/09/18,112780,112880,112770,112850,
20/09/18,112870,112890,112770,112800,
20/09/18,112800,112810,112690,112740,
20/09/18,112740,112740,112670,112700,
20/09/18,112710,112780,112690,112690,
20/09/18,112690,112800,112650,112790,
20/09/18,112800,112830,112770,112800,
20/09/18,112800,112910,112800,112900,
20/09/18,112890,112900,112820,112860,
20/09/18,112870,112890,112820,112820,
20/09/18,112820,112910,112780,112840,
20/09/18,112830,112840,112720,112800,
20/09/18,112800,112870,112770,112820,
20/09/18,112810,112860,112780,112850,
20/09/18,112850,112850,112790,112830,
20/09/18,112810,112840,112780,112810,
20/09/18,112800,112820,112740,112800,
20/09/18,112790,112790,112770,112770,
20/09/18,112770,112790,112750,112770,
20/09/18,112770,112770,112730,112750,
20/09/18,112750,112810,112730,112790,
20/09/18,112790,112840,112770,112840,
20/09/18,112840,112890,112830,112840,
20/09/18,112830,112920,112830,112840,
20/09/18,112850,112860,112800,112860,
20/09/18,112850,112870,112770,112790,
20/09/18,112790,112790,112680,112740,
20/09/18,112750,112790,112720,112770,
20/09/18,112790,112890,112780,112880,
20/09/18,112880,112950,112830,112890,
20/09/18,112890,112920,112830,112840,
20/09/18,112830,112860,112810,112840,
20/09/18,112830,112870,112790,112790,
20/09/18,112790,112810,112780,112790,
20/09/18,112780,112780,112710,112730,
20/09/18,112730,112740,112660,112710,
20/09/18,112700,112730,112660,112700,
20/09/18,112710,112710,112660,112680,
20/09/18,112680,112710,112650,112700,
20/09/18,112700,112720,112630,112700,
20/09/18,112690,112780,112680,112780,
20/09/18,112760,112760,112700,112710,
20/09/18,112720,112800,112720,112740,
20/09/18,112750,112790,112740,112760,
20/09/18,112750,112750,112600,112650,
20/09/18,112630,112700,112610,112680,
20/09/18,112670,112720,112660,112680,
20/09/18,112670,112720,112650,112700,
20/09/18,112710,112720,112580,112620,
20/09/18,112620,112670,112580,112580,
20/09/18,112600,112710,112580,112700,
20/09/18,112700,112710,112680,112680,
20/09/18,112690,112710,112650,112660,
20/09/18,112650,112730,112610,112700,
20/09/18,112710,112770,112700,112750,
20/09/18,112740,112750,112700,112700,
20/09/18,112720,112740,112700,112730,
20/09/18,112730,112760,112720,112750,
20/09/18,112750,112760,112720,112760,
20/09/18,112760,112780,112750,112760,
20/09/18,112740,112760,112720,112740,
20/09/18,112740,112760,112680,112740,
20/09/18,112730,112730,112660,112690,
20/09/18,112690,112710,112650,112670,
20/09/18,112680,112680,112620,112660,
20/09/18,112670,112680,112600,112630,
20/09/18,112640,112680,112630,112670,
20/09/18,112660,112670,112610,112610,
20/09/18,112620,112650,112610,112640,
20/09/18,112650,112660,112580,112640,
20/09/18,112640,112650,112590,112630,
20/09/18,112630,112650,112600,112640,
20/09/18,112650,112650,112620,112630,
20/09/18,112630,112690,112630,112650,
20/09/18,112640,112680,112610,112680,
20/09/18,112670,112730,112650,112680,
20/09/18,112670,112680,112640,112650,
20/09/18,112650,112670,112630,112640,
20/09/18,112640,112680,112630,112680,
20/09/18,112690,112690,112650,112660,
20/09/18,112670,112680,112630,112650,
20/09/18,112650,112650,112540,112620,
20/09/18,112600,112670,112580,112620,
20/09/18,112630,112650,112580,112610,
20/09/18,112620,112630,112540,112550,
20/09/18,112550,112560,112470,112510,
20/09/18,112510,112540,112420,112430,
20/09/18,112440,112480,112420,112480,
20/09/18,112470,112530,112440,112440,
20/09/18,112430,112450,112370,112380,
20/09/18,112380,112440,112350,112440,
20/09/18,112430,112500,112410,112500,
20/09/18,112500,112530,112470,112510,
20/09/18,112510,112510,112480,112500,
20/09/18,112490,112550,112490,112540,
20/09/18,112580,112800,112580,112670,
20/09/18,112670,112750,112660,112720,
20/09/18,112720,112730,112690,112700,
20/09/18,112710,112710,112620,112630,
20/09/18,112640,112670,112530,112530,
20/09/18,112540,112560,112480,112500,
20/09/18,112500,112540,112440,112470,
20/09/18,112460,112530,112460,112480,
20/09/18,112490,112530,112490,112500,
20/09/18,112510,112520,112490,112520,
20/09/18,112510,112520,112490,112490,
20/09/18,112490,112500,112470,112470,
20/09/18,112480,112490,112460,112470,
20/09/18,112470,112510,112460,112490,
20/09/18,112500,112520,112490,112520,
20/09/18,112510,112560,112510,112550,
20/09/18,112550,112570,112530,112570,
20/09/18,112550,112580,112540,112550,
20/09/18,112550,112580,112550,112560,
20/09/18,112570,112590,112550,112570,
20/09/18,112580,112590,112570,112570,
20/09/18,112570,112580,112560,112560,
20/09/18,112560,112560,112490,112500,
20/09/18,112500,112500,112450,112480,
20/09/18,112490,112500,112470,112490,
20/09/18,112490,112520,112480,112520,
20/09/18,112520,112530,112520,112530,
20/09/18,112520,112540,112510,112530,
20/09/18,112530,112540,112510,112530,
20/09/18,112510,112550,112510,112530,
20/09/18,112540,112540,112510,112520,
20/09/18,112510,112540,112500,112520,
20/09/18,112540,112540,112520,112540,
20/09/18,112550,112550,112520,112520,
20/09/18,112530,112530,112490,112530,
20/09/18,112520,112550,112520,112530,
20/09/18,112510,112520,112480,112490,
20/09/18,112490,112500,112480,112500,
20/09/18,112510,112510,112470,112470,
20/09/18,112470,112510,112470,112490,
20/09/18,112490,112510,112490,112510,
20/09/18,112510,112520,112490,112500,
20/09/18,112490,112490,112470,112480,
20/09/18,112480,112480,112470,112470,
20/09/18,112470,112480,112450,112460,
20/09/18,112460,112490,112450,112490,
20/09/18,112480,112500,112460,112500,
20/09/18,112500,112500,112470,112470,
20/09/18,112460,112520,112460,112520,
20/09/18,112510,112520,112500,112500,
20/09/18,112490,112490,112450,112450,
20/09/18,112460,112470,112450,112460,
20/09/18,112470,112480,112460,112480,
20/09/18,112480,112480,112460,112470,
20/09/18,112470,112500,112470,112500,
20/09/18,112490,112600,112490,112600,
20/09/18,112590,112600,112580,112590,
20/09/18,112600,112630,112580,112610,
20/09/18,112610,112610,112560,112590,
20/09/18,112570,112570,112530,112550,
20/09/18,112540,112560,112530,112540,
20/09/18,112550,112560,112540,112550,
20/09/18,112540,112550,112540,112540,
20/09/18,112540,112550,112520,112530,
20/09/18,112550,112550,112510,112510,
20/09/18,112510,112560,112490,112550,
20/09/18,112560,112610,112560,112600,
20/09/18,112610,112660,112610,112650,
20/09/18,112650,112670,112620,112620,
20/09/18,112630,112640,112570,112590,
20/09/18,112580,112640,112580,112630,
20/09/18,112640,112650,112620,112650,
20/09/18,112640,112720,112640,112700,
20/09/18,112710,112730,112670,112700,
20/09/18,112700,112720,112670,112700,
20/09/18,112710,112730,112710,112720,
20/09/18,112720,112760,112720,112740,
20/09/18,112720,112730,112670,112670,
20/09/18,112680,112700,112670,112690,
20/09/18,112690,112730,112690,112710,
20/09/18,112710,112730,112700,112700,
20/09/18,112700,112700,112660,112660,
20/09/18,112660,112660,112630,112660,
20/09/18,112660,112660,112620,112640,
20/09/18,112660,112690,112640,112670,
20/09/18,112680,112690,112640,112650,
20/09/18,112640,112650,112570,112580,
20/09/18,112580,112590,112510,112510,
20/09/18,112510,112580,112510,112580,
20/09/18,112580,112600,112570,112590,
20/09/18,112570,112590,112530,112530,
20/09/18,112540,112570,112540,112550,
20/09/18,112550,112580,112530,112550,
20/09/18,112550,112590,112550,112570,
20/09/18,112570,112580,112560,112570,
20/09/18,112560,112600,112560,112590,
20/09/18,112580,112590,112560,112570,
20/09/18,112580,112590,112560,112560,
20/09/18,112550,112560,112530,112550,
20/09/18,112540,112540,112540,112540,
20/09/18,112560,112560,112540,112540,
20/09/18,112540,112550,112530,112540,
20/09/18,112550,112560,112540,112560,
20/09/18,112550,112550,112540,112550,
20/09/18,112560,112630,112550,112600,
20/09/18,112590,112600,112520,112540,
20/09/18,112540,112580,112540,112580,
20/09/18,112580,112580,112550,112550,
20/09/18,112570,112570,112530,112540,
20/09/18,112540,112550,112510,112550,
20/09/18,112560,112580,112550,112550,
20/09/18,112530,112550,112530,112540,
20/09/18,112540,112560,112530,112540,
20/09/18,112550,112570,112550,112570,
20/09/18,112570,112570,112530,112570,
20/09/18,112570,112570,112550,112570,
20/09/18,112550,112550,112500,112510,
20/09/18,112510,112530,112510,112530,
20/09/18,112540,112540,112510,112510,
20/09/18,112520,112530,112520,112530,
20/09/18,112530,112560,112530,112560,
20/09/18,112560,112560,112540,112550,
20/09/18,112540,112540,112510,112520,
20/09/18,112520,112520,112510,112510,
20/09/18,112520,112530,112510,112510,
20/09/18,112520,112540,112520,112540,
20/09/18,112540,112540,112480,112490,
20/09/18,112490,112500,112480,112490,
20/09/18,112500,112500,112490,112490,
20/09/18,112490,112540,112490,112540,
20/09/18,112550,112550,112500,112510,
20/09/18,112510,112530,112500,112530,
20/09/18,112520,112520,112500,112500,
20/09/18,112500,112510,112480,112480,
20/09/18,112490,112500,112490,112500,
20/09/18,112500,112500,112490,112490,
20/09/18,112490,112490,112470,112490,
20/09/18,112470,112480,112450,112480,
20/09/18,112470,112500,112470,112490,
20/09/18,112490,112510,112490,112510,
20/09/18,112490,112500,112470,112470,
20/09/18,112460,112480,112440,112470,
20/09/18,112470,112500,112440,112480,
20/09/18,112490,112510,112490,112510,
20/09/18,112510,112510,112500,112500,
20/09/18,112500,112500,112440,112460,
20/09/18,112450,112480,112440,112480,
20/09/18,112480,112480,112430,112440,
20/09/18,112440,112460,112430,112430,
20/09/18,112430,112460,112410,112430,
20/09/18,112430,112440,112400,112430,
20/09/18,112430,112440,112430,112430,
20/09/18,112420,112430,112400,112410,
20/09/18,112410,112440,112390,112430,
20/09/18,112430,112430,112410,112430,
20/09/18,112420,112430,112420,112430,
20/09/18,112430,112450,112430,112430,
20/09/18,112420,112420,112390,112390,
20/09/18,112390,112430,112370,112420,
20/09/18,112430,112430,112410,112420,
20/09/18,112410,112430,112400,112400,
20/09/18,112400,112430,112400,112430,
20/09/18,112430,112430,112390,112420,
20/09/18,112410,112410,112400,112410,
20/09/18,112400,112430,112400,112420,
20/09/18,112420,112450,112390,112420,
20/09/18,112410,112430,112410,112430,
20/09/18,112430,112430,112420,112420,
20/09/18,112400,112420,112400,112410,
20/09/18,112400,112410,112370,112400,
20/09/18,112400,112410,112390,112410,
20/09/18,112390,112440,112380,112430,
20/09/18,112430,112430,112410,112420,
20/09/18,112410,112450,112410,112430,
20/09/18,112440,112450,112430,112440,
20/09/18,112440,112450,112430,112440,
20/09/18,112440,112450,112430,112440,
20/09/18,112440,112440,112400,112410,
20/09/18,112400,112450,112400,112430,
20/09/18,112440,112450,112430,112440,
20/09/18,112440,112490,112440,112460,
20/09/18,112470,112510,112470,112500,
20/09/18,112490,112500,112480,112490,
20/09/18,112490,112500,112470,112500,
20/09/18,112470,112480,112470,112480,
20/09/18,112500,112520,112470,112480,
20/09/18,112470,112500,112450,112500,
20/09/18,112490,112500,112470,112490,
20/09/18,112520,112540,112520,112530,
20/09/18,112540,112540,112510,112530,
20/09/18,112530,112550,112520,112520,
20/09/18,112520,112520,112500,112510,
20/09/18,112510,112560,112510,112560,
20/09/18,112550,112580,112540,112580,
20/09/18,112570,112580,112560,112560,
20/09/18,112560,112560,112530,112540,
20/09/18,112580,112580,112560,112560,
20/09/18,112570,112580,112550,112560,
20/09/18,112550,112550,112540,112540,
20/09/18,112550,112570,112530,112570,
20/09/18,112560,112580,112550,112550,
20/09/18,112540,112580,112540,112570,
20/09/18,112570,112570,112550,112560,
20/09/18,112560,112570,112560,112560,
20/09/18,112570,112580,112560,112580,
20/09/18,112570,112590,112550,112570,
20/09/18,112570,112580,112550,112550,
20/09/18,112550,112560,112550,112560,
20/09/18,112570,112570,112560,112560,
20/09/18,112570,112570,112570,112570,
20/09/18,112550,112550,112540,112540,
20/09/18,112540,112570,112540,112560,
20/09/18,112570,112620,112570,112610,
20/09/18,112610,112670,112610,112670,
20/09/18,112660,112670,112620,112640,
20/09/18,112630,112640,112620,112640,
20/09/18,112620,112640,112600,112610,
